EAN,Product Name,Price
8749337332911,Live,19.37
7773480624327,These,10.52
5962394125697,Close,97.95
2162063780976,Southern,5.18
6593469642826,Goal,68.14
4679895315450,Word,43.88
3951349514118,Half,21.47
9970663763643,Water,71.32
3652701772014,East,89.98
3411200447796,Political,48.84
1418857482553,Large,72.59
2214524567693,Data,37.7
3597798625702,Significant,73.6
8951386468525,School,82.72
1167176652078,Up,87.86
3836228073283,Trial,44.33
4250392826104,Impact,54.23
8293254872319,View,36.91
3476562024790,Near,85.67
4972445638971,Clear,22.47
5968327441879,Result,39.84
9843792035647,Turn,45.16
2075834682439,Point,29.56
6193847283746,High,61.98
2183957283748,Story,78.41
1234875693845,Step,18.92
9823746182734,Meet,57.33
7384765810923,Reach,62.57
8264857391023,Leave,49.28
2348572948723,Sound,43.67
1823746123895,Talk,38.74
1938475627384,Join,83.45
9283746150293,Start,91.28
0293847561823,End,26.79
4829375610923,Follow,35.68
9847265182734,Speak,29.31
1938475628301,Call,48.94
7483927501234,Carry,32.17
0912847560912,Consider,19.85
0948756123490,Learn,28.14
2837465829014,Understand,53.92
9384756102394,Change,71.23
8374625810293,Move,66.78
5647382910293,Stand,44.15
1827364501923,Find,92.47
8472910562013,Reach,33.12
1938475610293,Decide,67.84
1928374650192,Include,41.39
2837465829301,Increase,24.79
9384756120938,Win,73.45
8472910562001,Continue,37.58
2938475610283,Present,84.62
1928374650912,Argue,18.93
2837465829104,Drive,63.57
8472910562027,Support,74.89
2938475610934,Wait,21.56
1928374650102,Follow,85.74
2837465829103,Break,33.21
8472910562004,Explain,56.48
2938475610284,Create,77.92
1928374650193,Choose,89.65
8472910562026,Ask,41.78
2938475610923,Hear,93.48
1928374650182,Show,54.12
8472910562014,Play,61.73
2837465829374,Develop,22.63
8472910562031,Open,49.56
2938475610182,Close,37.12
1928374650293,Prepare,66.45
8472910562030,Support,25.67
2938475610275,Pass,48.19
1928374650201,Forget,53.88
8472910562029,Give,73.92
2938475610276,Increase,82.45
1928374650301,Ask,34.29
8472910562017,Include,65.78
2938475610285,Understand,42.63
1928374650218,Prepare,26.37
